Latitude,Longitude,Elevation,Time,HeartRate,Power
42.276057,-71.027953,7.8,2023-09-15 00:03:55+00:00,,
42.276057,-71.027952,7.8,2023-09-15 00:03:56+00:00,,
42.276055,-71.02795,7.8,2023-09-15 00:03:57+00:00,,
42.276055,-71.027948,7.8,2023-09-15 00:03:58+00:00,,
42.276048,-71.027942,7.8,2023-09-15 00:03:59+00:00,,
42.27603,-71.027905,7.8,2023-09-15 00:04:00+00:00,,
42.276005,-71.027872,7.8,2023-09-15 00:04:01+00:00,,
42.27598,-71.027838,7.8,2023-09-15 00:04:02+00:00,,
42.275957,-71.027808,7.8,2023-09-15 00:04:03+00:00,,
42.275933,-71.027775,7.8,2023-09-15 00:04:04+00:00,,
42.275913,-71.027737,7.8,2023-09-15 00:04:05+00:00,,
42.27589,-71.027697,7.8,2023-09-15 00:04:06+00:00,,
42.275867,-71.027658,7.8,2023-09-15 00:04:07+00:00,,
42.275843,-71.027627,8.8,2023-09-15 00:04:08+00:00,,
42.275827,-71.027607,8.8,2023-09-15 00:04:09+00:00,,
42.275808,-71.027588,8.8,2023-09-15 00:04:10+00:00,,
42.275788,-71.027567,8.8,2023-09-15 00:04:11+00:00,,
42.27577,-71.027547,8.8,2023-09-15 00:04:12+00:00,,
42.27575,-71.027527,8.8,2023-09-15 00:04:13+00:00,,
42.27573,-71.027503,8.8,2023-09-15 00:04:14+00:00,,
42.275708,-71.027483,8.8,2023-09-15 00:04:15+00:00,,
42.275682,-71.027458,8.8,2023-09-15 00:04:16+00:00,,
42.27566,-71.027437,8.8,2023-09-15 00:04:17+00:00,,
42.275642,-71.027415,8.8,2023-09-15 00:04:18+00:00,,
42.275628,-71.027395,8.8,2023-09-15 00:04:19+00:00,,
42.275612,-71.027373,9.8,2023-09-15 00:04:20+00:00,,
42.275595,-71.027348,9.8,2023-09-15 00:04:21+00:00,,
42.275575,-71.027325,9.8,2023-09-15 00:04:22+00:00,,
42.275553,-71.027307,9.8,2023-09-15 00:04:23+00:00,,
42.275533,-71.027288,9.8,2023-09-15 00:04:24+00:00,,
42.275515,-71.027277,9.8,2023-09-15 00:04:25+00:00,,
42.27549,-71.027263,9.8,2023-09-15 00:04:26+00:00,,
42.27547,-71.027263,9.8,2023-09-15 00:04:27+00:00,,
42.275455,-71.027267,9.8,2023-09-15 00:04:28+00:00,,
42.275435,-71.027253,9.8,2023-09-15 00:04:29+00:00,,
42.275417,-71.027237,9.8,2023-09-15 00:04:30+00:00,,
42.275392,-71.027212,9.8,2023-09-15 00:04:31+00:00,,
42.275375,-71.027192,10.8,2023-09-15 00:04:32+00:00,,
42.275357,-71.027173,10.8,2023-09-15 00:04:33+00:00,,
42.275333,-71.027153,10.8,2023-09-15 00:04:34+00:00,,
42.27531,-71.027132,10.8,2023-09-15 00:04:35+00:00,,
42.275288,-71.02711,10.8,2023-09-15 00:04:36+00:00,,
42.275267,-71.02709,10.8,2023-09-15 00:04:37+00:00,,
42.275245,-71.027072,10.8,2023-09-15 00:04:38+00:00,,
42.275223,-71.027053,10.8,2023-09-15 00:04:39+00:00,,
42.275205,-71.027037,10.8,2023-09-15 00:04:40+00:00,,
42.275183,-71.027018,10.8,2023-09-15 00:04:41+00:00,,
42.275167,-71.027003,10.8,2023-09-15 00:04:42+00:00,,
42.275147,-71.026985,10.8,2023-09-15 00:04:43+00:00,,
42.275128,-71.02697,10.8,2023-09-15 00:04:44+00:00,,
42.27511,-71.026952,10.8,2023-09-15 00:04:45+00:00,,
42.27509,-71.02693,10.8,2023-09-15 00:04:46+00:00,,
42.275067,-71.026902,10.8,2023-09-15 00:04:47+00:00,,
42.275048,-71.026883,10.8,2023-09-15 00:04:48+00:00,,
42.275028,-71.026863,10.8,2023-09-15 00:04:49+00:00,,
42.27501,-71.026843,10.8,2023-09-15 00:04:50+00:00,,
42.27499,-71.026825,10.8,2023-09-15 00:04:51+00:00,,
42.27497,-71.02681,10.8,2023-09-15 00:04:52+00:00,,
42.27495,-71.026795,10.8,2023-09-15 00:04:53+00:00,,
42.274928,-71.026778,11.7,2023-09-15 00:04:54+00:00,,
42.27491,-71.026762,11.7,2023-09-15 00:04:55+00:00,,
42.274885,-71.026732,11.7,2023-09-15 00:04:56+00:00,,
42.274862,-71.026703,11.7,2023-09-15 00:04:57+00:00,,
42.274842,-71.026672,11.7,2023-09-15 00:04:58+00:00,,
42.274825,-71.026642,11.7,2023-09-15 00:04:59+00:00,,
42.27481,-71.026615,11.7,2023-09-15 00:05:00+00:00,,
42.274798,-71.026595,11.7,2023-09-15 00:05:01+00:00,,
42.274782,-71.02658,11.7,2023-09-15 00:05:02+00:00,,
42.274762,-71.026567,11.7,2023-09-15 00:05:03+00:00,,
42.274738,-71.026553,11.7,2023-09-15 00:05:04+00:00,,
42.274717,-71.026535,11.7,2023-09-15 00:05:05+00:00,,
42.274692,-71.02651,11.7,2023-09-15 00:05:06+00:00,,
42.274675,-71.026493,11.7,2023-09-15 00:05:07+00:00,,
42.274657,-71.026477,11.7,2023-09-15 00:05:08+00:00,,
42.274638,-71.026458,11.7,2023-09-15 00:05:09+00:00,,
42.274623,-71.026437,11.7,2023-09-15 00:05:10+00:00,,
42.274608,-71.026412,11.7,2023-09-15 00:05:11+00:00,,
42.274588,-71.026383,11.7,2023-09-15 00:05:12+00:00,,
42.274568,-71.02636,11.7,2023-09-15 00:05:13+00:00,,
42.274548,-71.02634,11.7,2023-09-15 00:05:14+00:00,,
42.274523,-71.026332,11.7,2023-09-15 00:05:15+00:00,,
42.27451,-71.026325,11.7,2023-09-15 00:05:16+00:00,,
42.27451,-71.026313,11.7,2023-09-15 00:05:17+00:00,,
42.274512,-71.026298,11.7,2023-09-15 00:05:18+00:00,,
42.274507,-71.026282,11.7,2023-09-15 00:05:19+00:00,,
42.2745,-71.026272,11.7,2023-09-15 00:05:20+00:00,,
42.274492,-71.026263,11.7,2023-09-15 00:05:21+00:00,,
42.274478,-71.026258,11.7,2023-09-15 00:05:22+00:00,,
42.274465,-71.026248,11.7,2023-09-15 00:05:23+00:00,,
42.274448,-71.026237,11.7,2023-09-15 00:05:24+00:00,,
42.274422,-71.026225,11.7,2023-09-15 00:05:25+00:00,,
42.274398,-71.026213,11.7,2023-09-15 00:05:26+00:00,,
42.274373,-71.026197,11.7,2023-09-15 00:05:27+00:00,,
42.274352,-71.026173,11.7,2023-09-15 00:05:28+00:00,,
42.274332,-71.02615,11.7,2023-09-15 00:05:29+00:00,,
42.27431,-71.026127,11.7,2023-09-15 00:05:30+00:00,,
42.274292,-71.026105,11.7,2023-09-15 00:05:31+00:00,,
42.274268,-71.026087,11.7,2023-09-15 00:05:32+00:00,,
42.274248,-71.026065,11.7,2023-09-15 00:05:33+00:00,,
42.274228,-71.026042,11.7,2023-09-15 00:05:34+00:00,,
42.274213,-71.026023,11.7,2023-09-15 00:05:35+00:00,,
42.274195,-71.026012,11.7,2023-09-15 00:05:36+00:00,,
42.274177,-71.026,11.7,2023-09-15 00:05:37+00:00,,
42.274157,-71.025978,11.7,2023-09-15 00:05:38+00:00,,
42.27414,-71.025957,11.7,2023-09-15 00:05:39+00:00,,
42.274122,-71.025932,11.7,2023-09-15 00:05:40+00:00,,
42.274103,-71.025913,11.7,2023-09-15 00:05:41+00:00,,
42.274087,-71.025905,11.7,2023-09-15 00:05:42+00:00,,
42.274072,-71.025892,11.7,2023-09-15 00:05:43+00:00,,
42.274058,-71.025873,10.8,2023-09-15 00:05:44+00:00,,
42.274037,-71.025847,10.8,2023-09-15 00:05:45+00:00,,
